Year,Spots_c,Total_c,Spots_nc,Total_nc,GrandTotal,Source,Comments
1960,NA,4988,,,,"Wessel et al 2015, Apx A. ",
1961,NA,,,,,"Wessel et al 2015, Apx A. ",
1962,NA,3576,,,,"Wessel et al 2015, Apx A. ",
1963,NA,1101,,,,"Wessel et al 2015, Apx A. ",
1964,NA,4248,,,,"Wessel et al 2015, Apx A. ",
1965,NA,4356,,,,"Wessel et al 2015, Apx A. ",
1966,NA,,,,,"Wessel et al 2015, Apx A. ",
1967,NA,749,,,,"Wessel et al 2015, Apx A. ",
1968,NA,6866,,,,"Wessel et al 2015, Apx A. ",
1969,NA,5146,,,,"Wessel et al 2015, Apx A. ",
1970,NA,19776,,,,"Wessel et al 2015, Apx A. ",
1971,NA,13073,,,,"Wessel et al 2015, Apx A. ",
1972,NA,6979,,,,"Wessel et al 2015, Apx A. ",
1973,NA,6370,,,,"Wessel et al 2015, Apx A. ",
1974,NA,24978,,,,"Wessel et al 2015, Apx A. ",
1975,NA,4150,,,,"Wessel et al 2015, Apx A. ",
1976,NA,2410,,,,"Wessel et al 2015, Apx A. ",
1977,NA,7516,,,,"Wessel et al 2015, Apx A. ",
1978,NA,15466,,,,"Wessel et al 2015, Apx A. ",
1979,NA,52208,,,,"Wessel et al 2015, Apx A. ",
1980,84787,90028,,,,"Wessel et al 2015, Apx A. ",
1981,153017,173537,,,,"Wessel et al 2015, Apx A. ",
1982,205746,213781,,,,"Wessel et al 2015, Apx A. ",
1983,198719,213420,,,,"Wessel et al 2015, Apx A. ",
1984,198729,207280,,,,"Wessel et al 2015, Apx A. ",
1985,271928,276707,,,,"Wessel et al 2015, Apx A. ",
1986,286105,290632,,,,"Wessel et al 2015, Apx A. ",
1987,265707,269653,,,,"Wessel et al 2015, Apx A. ",
1988,191630,192442,,,,"Wessel et al 2015, Apx A. ",
1989,28884,29315,,,,"Wessel et al 2015, Apx A. ",
1990,36378,36737,,,,"Wessel et al 2015, Apx A. ",
1991,17302,17580,,,,"Wessel et al 2015, Apx A. ",
1992,CLOSED,,,,,"Wessel et al 2015, Apx A. ",
1993,CLOSED,,,,,"Wessel et al 2015, Apx A. ",
1994,CLOSED,,,,,"Wessel et al 2015, Apx A. ",
1995,CLOSED,,,,,"Wessel et al 2015, Apx A. ",
1996,CLOSED,,,,,"Wessel et al 2015, Apx A. ",
1997,CLOSED,,,,,"Wessel et al 2015, Apx A. ",
1998,CLOSED,,,,,"Wessel et al 2015, Apx A. ",
1999,CLOSED,,,,,"Wessel et al 2015, Apx A. ",
2000,CLOSED,,,,,"Wessel et al 2015, Apx A. ",
2001,CLOSED,,,,,"Wessel et al 2015, Apx A. ",
2002,CLOSED,,15054,,,"Wessel et al 2015, Apx A. ; Table 5",
2003,CLOSED,,22635,,,"Wessel et al 2015, Apx A. ; Table 5",
2004,CLOSED,,41645,,,"Wessel et al 2015, Apx A. ; Table 5",
2005,CLOSED,,51785,,,"Wessel et al 2015, Apx A. ; Table 5",
2006,CLOSED,,,,,"Wessel et al 2015, Apx A. ; Table 5",
2007,CLOSED,,,,,"Wessel et al 2015, Apx A. ; Table 5",
2008,CLOSED,,,,,"Wessel et al 2015, Apx A. ; Table 5",
2009,CLOSED,,90961,,,"Wessel et al 2015, Apx A. ; Table 5",
2010,,45349,142146,142146,187495,"Wessel et al 2015, Table 1.; Table 5",  
2011,,52694,95924,95924,148618,"Wessel et al 2015, Table 1.; Table 5",These values labeled total shrimp in one table and spot shrimp in other
2012,,21561,90385,90385,111946,"Wessel et al 2015, Table 1.; Table 5",These values labeled total shrimp in one table and spot shrimp in other
2013,,61644,85988,85988,147631,"Wessel et al 2015, Table 1.; Table 5",These values labeled total shrimp in one table and spot shrimp in other
2014,,68464,89155,89155,157619,"Wessel et al 2015, Table 1.; Table 5",These values labeled total shrimp in one table and spot shrimp in other
2015,,23138,92071,92071,115209,email from JR  170911.  In email these are total shrimp.  Copied nc here to Spots. ,
2016,,48346,102785,102785,151131,email from JR  170911.  In email these are total shrimp.  Copied nc here to Spots. ,
2017,,67638,,,,K:\MANAGEMENT\SHELLFISH\PWS Shrimp All.xlsx,
