"","year","466100","476006","476007","476033","476035","476036","486001","486005","486031","486034","surveyWide"
"1",1992,NA,0.971428571428571,0.962962962962963,NA,NA,0.934210526315789,1,0.99009900990099,1,0.974789915966387,0.967914438502674
"2",1993,NA,1,0.875,NA,NA,0.965753424657534,1,0.914285714285714,0.970149253731343,1,0.976694915254237
"3",1994,NA,0.851851851851852,0.857142857142857,NA,NA,1,0.932203389830508,1,1,1,0.955223880597015
"4",1998,NA,1,NA,NA,NA,1,NA,1,1,0.956521739130435,0.991735537190083
"5",1999,NA,0.971014492753623,1,NA,NA,1,1,1,0.970588235294118,0.944444444444444,0.977678571428571
"6",2000,NA,0.945945945945946,0.934782608695652,NA,NA,1,1,0.96969696969697,1,0.975,0.971608832807571
"7",2001,NA,1,1,NA,NA,0.980769230769231,1,1,1,1,0.995959595959596
"8",2002,NA,0.965811965811966,NA,NA,NA,0.952380952380952,0.981818181818182,1,0.976744186046512,1,0.984476067270375
"9",2003,NA,0.985915492957746,1,NA,NA,1,1,0.991596638655462,1,1,0.997311827956989
"10",2004,NA,0.968421052631579,0.939393939393939,NA,NA,0.980314960629921,1,0.966216216216216,0.9,0.981981981981982,0.972846441947566
"11",2005,NA,0.96875,0.91304347826087,NA,NA,0.929411764705882,1,0.959349593495935,0.944444444444444,0.984,0.949728260869565
"12",2006,NA,1,1,NA,NA,0.909090909090909,1,1,0.5,1,0.916666666666667
"13",2007,NA,0.8,1,NA,NA,0.772727272727273,0.5,1,1,0.944444444444444,0.837209302325581
"14",2008,NA,0.777777777777778,NA,NA,NA,0.786885245901639,NA,0.870967741935484,1,0.803921568627451,0.814102564102564
"15",2009,NA,0.931034482758621,NA,NA,0.75,0.892857142857143,0.666666666666667,0.821428571428571,0.933333333333333,0.888888888888889,0.880165289256198
"16",2010,NA,0.945945945945946,NA,NA,1,0.833333333333333,0.888888888888889,0.956521739130435,0.921052631578947,1,0.934782608695652
"17",2011,NA,1,NA,NA,1,0.983870967741935,1,1,0.95,1,0.990683229813665
"18",2012,NA,0.875,NA,1,1,0.845238095238095,0.961538461538462,0.904761904761905,0.875,0.960526315789474,0.908
"19",2013,0.944444444444444,1,NA,1,0.5,0.696969696969697,1,0.954545454545455,1,1,0.871134020618557
"20",2014,0.888888888888889,1,NA,0.777777777777778,0.888888888888889,0.984126984126984,0.333333333333333,0.8,1,1,0.931034482758621
"21",2015,1,1,NA,1,1,0.967741935483871,1,1,0.928571428571429,1,0.983050847457627
"22",2016,NA,1,NA,1,1,1,1,1,0.989690721649485,0.986666666666667,0.996031746031746
"23",2017,1,0.977777777777778,NA,1,1,0.959349593495935,1,1,1,1,0.985772357723577
"24",2018,0.933333333333333,0.894736842105263,NA,1,1,0.929411764705882,1,1,0.958333333333333,1,0.948275862068966
