"","year","f50_1","f50_2","f50_3"
"1",1992,39.1983221515934,39.7159205705325,40.700451566917
"2",1993,40.3081137579505,39.7052590421661,39.5208533313004
"3",1994,41.6197504131348,40.4426184119211,39.7215077189111
"4",1995,40.237840114055,39.7972837145409,40.9356779052177
"5",1997,38.7126258774574,39.4448745105346,39.9428402525431
"6",1998,41.5897751469425,40.9633853016105,42.7800793451147
"7",1999,40.4495320682935,40.2218514616468,39.6604742924675
"8",2000,40.8626324206434,41.2334357310142,40.1848806676689
"9",2001,40.7498486617712,41.0773595442441,40.162036993329
"10",2002,40.4705571541481,40.9326561298034,40.957344939098
"11",2003,42.106082295179,42.3659426135863,42.8713845557019
"12",2004,39.4815671736422,40.8969569100971,42.2798423144287
"13",2005,38.7374008847301,42.241305096959,41.3754806881523
"14",2006,37.1827390497359,39.7500605542392,41.0729353073302
"15",2007,37.6492566140198,38.916872573339,39.8984524277946
"16",2008,38.0553603582165,37.6466902579496,39.9638701745567
"17",2009,38.2866093172567,38.5602860696058,38.1808285446944
"18",2010,41.5701689453849,38.3965553080615,39.1175877548251
"19",2011,39.7229796273983,39.7664563129104,39.0806259965629
"20",2012,40.15545682278,39.8045493996695,40.9074832522713
"21",2013,39.600239989005,40.8885905481725,40.315177696062
"22",2014,40.2015006746018,39.1406441563058,40.6310283641438
"23",2015,42.85836769697,39.9789709235983,41.4546038258027
"24",2016,40.713683012188,39.1196888414949,41.5231066932197
"25",2017,39.687803905459,38.7949073549379,38.8427492990913
"26",2018,39.2316760161276,38.8426844741722,38.7427787513554
