"","year","N","tau_all_lb","tau_all_cnt","mu_all_lb","mu_all_cnt","tau_lrg_lb","tau_lrg_cnt","mu_lrg_lb","mu_lrg_cnt"
"1",1992,349,249.03828444,5009,0.713576746246418,14.352435530086,191.82274499894,3023,0.5496353724898,8.66189111747851
"2",1993,325,120.55303084,2434,0.370932402584616,7.48923076923077,87.2417152358849,1008.22736030829,0.268436046879645,3.1022380317178
"3",1994,355,145.08824682,4119,0.408699286816901,11.6028169014085,66.2721278341552,993.801068090788,0.186682050237057,2.79943962842475
"4",1995,350,206.242201,5053,0.589263431428571,14.4371428571429,118.7515035608,1869,0.339290010173715,5.34
"5",1996,350,182.16334136,4618,0.5204666896,13.1942857142857,NA,NA,NA,NA
"6",1997,345,141.48810236,3816,0.410110441623188,11.0608695652174,72.8537311204114,1107.25118338321,0.211170235131627,3.20942371995134
"7",1998,264,76.48047242,2252,0.289698759166667,8.53030303030303,38.05749746282,571,0.144157187359167,2.16287878787879
"8",1999,346,164.07222964,4385,0.47419719549133,12.6734104046243,76.4302015777991,1082.08392603129,0.220896536352019,3.12741019084189
"9",2000,349,245.35656904,6545,0.703027418452722,18.7535816618911,136.77431394858,2182,0.391903478362693,6.25214899713467
"10",2001,351,330.84070954,7034,0.942566124045585,20.039886039886,225.45087648578,3456,0.642310189418178,9.84615384615385
"11",2002,304,376.66373624,8794,1.2390254481579,28.9276315789474,247.950994340568,3270.32699619772,0.815628270857131,10.7576545927557
"12",2003,352,397.76194964,9333,1.13000553875,26.5142045454545,277.86200881494,4132,0.789380706860626,11.7386363636364
"13",2004,352,502.45714882,12593,1.427435081875,35.7755681818182,294.57506989306,4161,0.836860994014375,11.8210227272727
"14",2005,349,481.02824242,14453,1.37830441954155,41.4126074498567,217.38306518654,3506.96089,0.622874112282349,10.0485985386819
"15",2006,346,548.917309771619,14133,1.58646621321277,40.8468208092486,285.864776096524,4428.26005410361,0.826198774845444,12.7984394627272
"16",2007,349,837.559390026829,24152,2.39988363904535,69.2034383954155,367.619805569578,6034.11187887021,1.05335187842286,17.289718850631
"17",2008,348,892.612057409658,23004,2.56497717646453,66.1034482758621,382.319495765948,6085.82473867711,1.09861924070675,17.4880021226354
"18",2009,351,824.609893854243,17622,2.34931593690666,50.2051282051282,518.000638294831,7873.42863034948,1.47578529428727,22.4314205992863
"19",2010,350,478.372114905635,8585,1.36677747115895,24.5285714285714,388.884951919284,5944.31519016571,1.11109986262653,16.9837576861877
"20",2011,350,683.211737241132,11580,1.95203353497467,33.0857142857143,586.319395779653,7946.65596071847,1.67519827365615,22.7047313163385
"21",2012,392,833.897514007394,15928,2.12728957654948,40.6326530612245,624.453602196685,8279.73309239695,1.59299388315481,21.1217680928494
"22",2013,392,744.235620020661,14453,1.89856025515475,36.8698979591837,535.684528849821,7176.00688989322,1.36654216543321,18.3061400252378
"23",2014,393,752.45444296,16051,1.91464234849873,40.8422391857506,548.341322031447,8211.10022334249,1.39527053952022,20.8933847922201
"24",2015,395,629.1544556,14118,1.59279609012658,35.7417721518987,399.477013442093,5249.52269653434,1.0113342112458,13.2899308773021
"25",2016,359,986.33376028,19821,2.74744780022285,55.2116991643454,709.147992575905,9189.30558727707,1.97534259770447,25.5969514965935
"26",2017,359,1408.641949,37674,3.92379372980502,104.941504178273,690.016778034322,8735.9672902066,1.92205230650229,24.3341707248095
"27",2018,392,1495.12940307434,40894,3.8141056200876,104.321428571429,738.634706423549,11395.1409950605,1.88427221026416,29.0692372322972
